k_bin,nth,pearson_median_GFLOPS_yax_spmv_basic_vs_median_GFLOPS_cg_basic_spmv,pearson_median_GFLOPS_yax_xyp_spmv_basic_vs_median_GFLOPS_cg_basic_spmv,subset_count_beforeNAdrop,median_GFLOPS_yax_spmv_basic_vs_median_GFLOPS_cg_basic_spmv_count,median_GFLOPS_yax_xyp_spmv_basic_vs_median_GFLOPS_cg_basic_spmv_count
"[2, 4)",1,,,1,0,0
"[2, 4)",4,,,1,0,0
"[2, 4)",7,,,1,0,0
"[2, 4)",8,,,1,0,0
"[4, 8)",1,,,1,0,0
"[4, 8)",4,,,1,0,0
"[4, 8)",7,,,1,0,0
"[4, 8)",8,,,1,0,0
"[8, 16)",1,0.9989182418611128,0.9992608804637486,3,3,3
"[8, 16)",4,0.9997845051553966,0.9982888636508251,3,3,3
"[8, 16)",7,0.9999627368277354,0.9973562805033438,3,3,3
"[8, 16)",8,0.9974701851346318,0.9997276443895261,3,3,3
"[16, 32)",1,0.9862998388501,0.857599037814367,7,7,7
"[16, 32)",4,0.9814882667800103,0.9736292158380073,7,7,7
"[16, 32)",7,0.9742504618548745,0.9517267844883949,7,7,7
"[16, 32)",8,0.9855053675425817,0.9906027741963808,7,7,7
"[32, 64)",1,0.9956003024357352,0.9377092948253005,17,17,17
"[32, 64)",4,0.9874903638903815,0.9839988588518194,17,17,17
"[32, 64)",7,0.9898207878926699,0.9838117127853366,17,17,17
"[32, 64)",8,0.9855779170657938,0.9750356971455251,17,17,17
"[64, 128)",1,0.9928813013402454,0.9231454978702638,26,26,26
"[64, 128)",4,0.9953304900336712,0.9964604759264607,26,26,26
"[64, 128)",7,0.9994171300021715,0.9986423526062318,26,26,26
"[64, 128)",8,0.9990517234724442,0.999174532688327,26,26,26
"[128, 256)",1,0.987522399784132,0.9970065672882993,31,31,31
"[128, 256)",4,0.9937179257719077,0.9956157514487387,31,31,31
"[128, 256)",7,0.9886067400616051,0.983511372639702,31,31,31
"[128, 256)",8,0.9867340479091253,0.9896150341423638,31,31,31
"[256, 512)",1,0.965979677624191,0.9943103237129617,58,58,58
"[256, 512)",4,0.9865370691801899,0.9896133731662424,58,58,58
"[256, 512)",7,0.9915712423757777,0.9929717170362604,58,58,58
"[256, 512)",8,0.9901164990862923,0.9868376137063611,58,58,58
"[512, 1024)",1,0.8407419542199422,0.97668942147682,91,91,91
"[512, 1024)",4,0.9874247413390457,0.9940122153578441,91,91,91
"[512, 1024)",7,0.9936448855489178,0.9960921582859665,91,91,91
"[512, 1024)",8,0.9949667773754861,0.9938314994490657,91,91,91
"[1024, 2048)",1,0.8952535710303949,0.9865486845423537,108,108,108
"[1024, 2048)",4,0.9879467276500564,0.9963359393400529,108,108,108
"[1024, 2048)",7,0.993756209049462,0.9956856695314823,108,108,108
"[1024, 2048)",8,0.9955114153068189,0.9963986861122165,108,108,108
"[2048, 4096)",1,0.9258117225899425,0.9847186748530335,78,78,78
"[2048, 4096)",4,0.9942651067146415,0.9976044998319863,78,78,78
"[2048, 4096)",7,0.9954338713690117,0.9977969341179559,78,78,78
"[2048, 4096)",8,0.9975799092970628,0.99857338762311,78,78,78
"[4096, 8192)",1,0.9824175743404526,0.9940068253023272,104,104,104
"[4096, 8192)",4,0.988296436834989,0.99010931390046,104,104,104
"[4096, 8192)",7,0.9947142811589097,0.9981837342069024,104,104,104
"[4096, 8192)",8,0.9925141646141099,0.9987558339297475,104,104,104
"[8192, 16384)",1,0.9920622329143575,0.9975435108403677,123,123,123
"[8192, 16384)",4,0.9930527609947858,0.9908686247472963,123,123,123
"[8192, 16384)",7,0.9907258395817715,0.9937382613127473,123,123,123
"[8192, 16384)",8,0.9958598875665077,0.997838640672884,123,123,123
"[16384, 32768)",1,0.9961316948395631,0.9949058936629731,118,118,118
"[16384, 32768)",4,0.9941054625773869,0.9969431244259958,118,118,118
"[16384, 32768)",7,0.9930922543216469,0.9965627408691832,118,118,118
"[16384, 32768)",8,0.9923557004588163,0.9980650147852101,118,118,118
"[32768, 65536)",1,0.9976900972242645,0.9953028821548857,97,97,97
"[32768, 65536)",4,0.9952312149880476,0.9979931654545412,97,97,97
"[32768, 65536)",7,0.9968876002789704,0.9974654541528818,97,97,97
"[32768, 65536)",8,0.9968024601704043,0.9987670296646274,97,97,97
"[65536, 131072)",1,0.9981893117073977,0.9980742399279428,85,85,85
"[65536, 131072)",4,0.9958663133777655,0.998714743511999,85,85,85
"[65536, 131072)",7,0.998519415778297,0.9983748256616416,85,85,85
"[65536, 131072)",8,0.9981627759926028,0.9982854774373017,85,85,85
"[131072, 262144)",1,0.9993116895461834,0.9993729492758849,71,71,71
"[131072, 262144)",4,0.9972679990966697,0.9981408612131519,71,71,71
"[131072, 262144)",7,0.9948441055654931,0.9919580385563934,71,71,71
"[131072, 262144)",8,0.9911775755847279,0.9883423693222495,71,71,71
"[262144, 524288)",1,0.999796444809627,0.9995603317220664,50,50,50
"[262144, 524288)",4,0.9972751689945872,0.9976299105316885,50,50,50
"[262144, 524288)",7,0.9652698190878954,0.9627233118508298,50,50,50
"[262144, 524288)",8,0.9540243473424754,0.9454414945213901,50,50,50
"[524288, 1048576)",1,0.9997336402899949,0.9997082963590807,24,24,24
"[524288, 1048576)",4,0.9921836553342405,0.9867460835563938,24,24,24
"[524288, 1048576)",7,0.8862101328946099,0.8715628984532151,24,24,24
"[524288, 1048576)",8,0.8646147706399581,0.8060838314186921,24,24,24
"[1048576, 2097152)",1,0.9995660990125289,0.9996408632334703,26,26,26
"[1048576, 2097152)",4,0.9932141544962859,0.9908543979350563,26,26,26
"[1048576, 2097152)",7,0.9725464925198609,0.9585776778555373,26,26,26
"[1048576, 2097152)",8,0.9707122612755479,0.9447890087748491,26,26,26
"[2097152, 4194304)",1,0.9995819867603478,0.9994754536541008,18,18,18
"[2097152, 4194304)",4,0.9954505200017676,0.9960712560241568,18,18,18
"[2097152, 4194304)",7,0.9937515852214521,0.9958367504729091,18,18,18
"[2097152, 4194304)",8,0.9923250591017911,0.9932055213627179,18,18,18
"[4194304, 8388608)",1,0.9984290639114026,0.9998107398204414,11,11,11
"[4194304, 8388608)",4,0.9996320960816015,0.9997933785919159,11,11,11
"[4194304, 8388608)",7,0.9987519868136383,0.9993148975984353,11,11,11
"[4194304, 8388608)",8,0.9995986551911723,0.9997864903064348,11,11,11
"[8388608, 16777216)",1,0.9999875891088185,0.9999770944921915,8,8,8
"[8388608, 16777216)",4,0.9989643532289728,0.9990439550303685,8,8,8
"[8388608, 16777216)",7,0.9998204023888825,0.9999040640092383,8,8,8
"[8388608, 16777216)",8,0.9998211407910719,0.9999132909102044,8,8,8
"[16777216, 33554432)",1,0.9996321103364162,0.9999686405262695,8,8,8
"[16777216, 33554432)",4,0.9999413506638555,0.9999279675712605,8,8,8
"[16777216, 33554432)",7,0.9999505696394051,0.9999779201728758,8,8,8
"[16777216, 33554432)",8,0.9999200290708119,0.9999220603743519,8,8,8
